"city_state","city_or_county","state","incidents","victims_killed","victims_injured","victims_harmed","lat","long"
"Covington Tennessee","Covington","Tennessee",1,1,4,5,35.5642474,-89.6464672
"Crosby Texas","Crosby","Texas",1,1,4,5,33.5778818,-101.2855737
"Crystal Lake Illinois","Crystal Lake","Illinois",1,3,1,4,42.2411344,-88.3161965
"Cumberland Maryland","Cumberland","Maryland",1,1,3,4,39.6526498,-78.762383
"Dadeville Alabama","Dadeville","Alabama",1,4,32,36,32.831238,-85.7635692
"Dallas Texas","Dallas","Texas",11,13,36,49,32.7762719,-96.7968559
"Daytona Beach Florida","Daytona Beach","Florida",1,0,4,4,29.2108147,-81.0228331
"Decatur Georgia","Decatur","Georgia",2,0,9,9,30.8736613,-84.5740953
"Denison Texas","Denison","Texas",1,1,3,4,33.7556593,-96.536658
"Denver Colorado","Denver","Colorado",5,4,25,29,39.7392364,-104.984862
"Detroit Michigan","Detroit","Michigan",5,5,16,21,42.3315509,-83.0466403
"Dodge City Kansas","Dodge City","Kansas",1,2,2,4,37.7527982,-100.0170787
"Douglasville Georgia","Douglasville","Georgia",1,2,7,9,33.7514966,-84.7477136
"Downey California","Downey","California",1,0,4,4,33.9404441,-118.1292846
"Dublin Georgia","Dublin","Georgia",1,1,3,4,32.5404447,-82.903754
"Dubuque Iowa","Dubuque","Iowa",1,1,3,4,42.5006243,-90.6647985
"Dumfries Virginia","Dumfries","Virginia",1,1,4,5,38.5676202,-77.3280382
"Durango Colorado","Durango","Colorado",1,1,3,4,37.2769484,-107.8766
"Durham North Carolina","Durham","North Carolina",2,2,7,9,35.996653,-78.9018053
"East Lansing Michigan","East Lansing","Michigan",1,3,5,8,42.7320307,-84.4721678
"East Saint Louis Illinois","East Saint Louis","Illinois",2,2,8,10,38.6133731,-90.14629
"Edgewood Maryland","Edgewood","Maryland",1,0,4,4,39.4187194,-76.2944016
"Edinburg Texas","Edinburg","Texas",1,0,7,7,26.3013982,-98.1624501
"El Paso (Socorro) Texas","El Paso (Socorro)","Texas",1,0,4,4,31.6606629,-106.244628691953
"El Paso Texas","El Paso","Texas",4,5,19,24,31.7550511,-106.488234
"Elizabeth City North Carolina","Elizabeth City","North Carolina",1,0,4,4,36.2956836,-76.2247697
"Fargo North Dakota","Fargo","North Dakota",1,1,3,4,46.877229,-96.789821
"Farmington New Mexico","Farmington","New Mexico",1,3,6,9,36.7291152,-108.205445
"Fayetteville North Carolina","Fayetteville","North Carolina",4,5,11,16,35.0525759,-78.878292
"Flint Michigan","Flint","Michigan",1,0,4,4,43.0161693,-83.6900211
"Florence South Carolina","Florence","South Carolina",1,0,4,4,34.1984435,-79.7671658
"Florin California","Florin","California",1,0,4,4,38.4897749,-121.405747236447
"Fond Du Lac Wisconsin","Fond Du Lac","Wisconsin",1,1,3,4,43.7533414,-88.4493796
"Fort Lauderdale Florida","Fort Lauderdale","Florida",3,1,12,13,26.1223084,-80.1433786
"Fort Pierce Florida","Fort Pierce","Florida",1,1,7,8,27.4467056,-80.3256056
"Fort Wayne Indiana","Fort Wayne","Indiana",1,1,3,4,41.0799898,-85.1386015
"Fort Worth Texas","Fort Worth","Texas",3,4,15,19,32.753177,-97.3327459
"Freeport Illinois","Freeport","Illinois",1,1,3,4,42.2966861,-89.6212271
"Frostburg Maryland","Frostburg","Maryland",1,1,3,4,39.6581425,-78.928357
"Galveston Texas","Galveston","Texas",1,2,2,4,29.3872254,-94.992736
"Gary Indiana","Gary","Indiana",1,1,3,4,41.6020962,-87.3370647
"Glendale Arizona","Glendale","Arizona",1,0,4,4,33.5386858,-112.185994
"Goldsboro North Carolina","Goldsboro","North Carolina",1,1,5,6,35.3848841,-77.9927651
"Gonzales Louisiana","Gonzales","Louisiana",1,0,4,4,30.2385294,-90.9200987
"Goshen California","Goshen","California",1,6,0,6,36.3510616,-119.4201204
"Grand Rapids Michigan","Grand Rapids","Michigan",1,0,4,4,42.9632425,-85.6678639
"Greensboro North Carolina","Greensboro","North Carolina",3,5,11,16,36.0726355,-79.7919754
"Greenville North Carolina","Greenville","North Carolina",2,2,8,10,35.613224,-77.3724593
"Greenville South Carolina","Greenville","South Carolina",1,0,4,4,34.851354,-82.3984882
"Half Moon Bay California","Half Moon Bay","California",1,7,1,8,37.4635519,-122.428586
"Hampton Georgia","Hampton","Georgia",1,4,3,7,33.3870578,-84.2829784
"Harrisburg Pennsylvania","Harrisburg","Pennsylvania",2,0,8,8,40.2663107,-76.8861122
"Hartford Connecticut","Hartford","Connecticut",1,1,3,4,41.764582,-72.6908547
"Hartville Ohio","Hartville","Ohio",1,4,0,4,40.9636685,-81.3312195
"Hattiesburg Mississippi","Hattiesburg","Mississippi",1,0,4,4,31.3271189,-89.2903392
"Hayward California","Hayward","California",1,0,5,5,37.6688205,-122.080796
"Hazlehurst Mississippi","Hazlehurst","Mississippi",1,0,5,5,31.8604382,-90.3959255
"Hazleton Pennsylvania","Hazleton","Pennsylvania",1,0,4,4,40.9646867,-75.9852789
"Hempstead New York","Hempstead","New York",1,0,4,4,40.6736812,-73.6190736
"Henryetta Oklahoma","Henryetta","Oklahoma",1,6,0,6,35.4396625,-95.9865145
"Hialeah Florida","Hialeah","Florida",1,4,0,4,25.8575963,-80.2781057
"High Point North Carolina","High Point","North Carolina",2,5,3,8,35.9556924,-80.0053176
"Hollywood Florida","Hollywood","Florida",1,0,9,9,26.0112014,-80.1494901
"Hollywood South Carolina","Hollywood","South Carolina",1,1,5,6,32.7343442,-80.2417651
"Homestead (Munhall) Pennsylvania","Homestead (Munhall)","Pennsylvania",1,1,3,4,40.4071046,-79.9029436
"Homestead Florida","Homestead","Florida",1,1,3,4,25.4718946,-80.4759905
"Houston Texas","Houston","Texas",9,7,33,40,29.7589382,-95.3676974
"Huntsville Alabama","Huntsville","Alabama",1,2,9,11,34.729847,-86.5859011
"Huntsville Texas","Huntsville","Texas",1,2,2,4,30.7235263,-95.5507771
"Indiana Pennsylvania","Indiana","Pennsylvania",1,1,8,9,40.6424116,-79.1262839
"Indianapolis Indiana","Indianapolis","Indiana",7,6,29,35,39.7683331,-86.1583502
"Indio California","Indio","California",1,1,3,4,33.7192808,-116.2188054
"Inglewood California","Inglewood","California",1,2,3,5,33.9562003,-118.353132
"Isle Of Palms South Carolina","Isle Of Palms","South Carolina",1,0,5,5,32.7867697,-79.7880359
"Jackson Mississippi","Jackson","Mississippi",2,1,8,9,32.2998686,-90.1830408
"Jackson Tennessee","Jackson","Tennessee",1,0,4,4,35.6144446,-88.8177418
"Jacksonville Florida","Jacksonville","Florida",2,3,7,10,30.3321838,-81.655651
"Jasper Texas","Jasper","Texas",1,0,11,11,30.7485258,-94.000884
"Jeannette Pennsylvania","Jeannette","Pennsylvania",1,1,4,5,40.3281247,-79.6153198
"Jersey City New Jersey","Jersey City","New Jersey",2,0,10,10,40.7215682,-74.047455
"Jonestown Mississippi","Jonestown","Mississippi",1,0,4,4,34.3195524,-90.4556535
"Kansas City Missouri","Kansas City","Missouri",5,7,21,28,39.100105,-94.5781416
"Kellogg Idaho","Kellogg","Idaho",1,4,0,4,47.5382349,-116.118887
"Keysville Georgia","Keysville","Georgia",1,0,4,4,33.242412,-82.2298780998402
"La Crosse Wisconsin","La Crosse","Wisconsin",1,0,7,7,43.8122836,-91.2514355
"Labadieville Louisiana","Labadieville","Louisiana",1,0,7,7,29.823894,-90.9529261942724
"Lafayette Louisiana","Lafayette","Louisiana",2,2,9,11,30.2262187,-92.0178202
"Lagrange Georgia","Lagrange","Georgia",1,0,4,4,33.039291,-85.0313269
"Lake Charles Louisiana","Lake Charles","Louisiana",2,1,9,10,30.2305095,-93.2169807
"Lake City Florida","Lake City","Florida",1,0,4,4,30.1894252,-82.6394803
"Lake Wales Florida","Lake Wales","Florida",1,4,0,4,27.9014133,-81.5859099
"Lakeland Florida","Lakeland","Florida",1,0,11,11,28.0394654,-81.9498042
"Lancaster Pennsylvania","Lancaster","Pennsylvania",1,0,4,4,40.08067,-76.2411283
"Lansing Michigan","Lansing","Michigan",3,0,14,14,42.7337712,-84.5553805
"Laredo Texas","Laredo","Texas",2,0,18,18,27.5030915,-99.5075644
"Las Cruces New Mexico","Las Cruces","New Mexico",1,0,7,7,32.3140354,-106.779807
"Las Vegas (Enterprise) Nevada","Las Vegas (Enterprise)","Nevada",1,0,4,4,36.00913325,-115.17580095251
"Laurel Maryland","Laurel","Maryland",1,0,4,4,39.0984317,-76.8485094
"Laurinburg North Carolina","Laurinburg","North Carolina",1,0,4,4,34.7740495,-79.4628248
"Lawrence Massachusetts","Lawrence","Massachusetts",1,1,5,6,42.7070354,-71.1631137
"Lebanon Pennsylvania","Lebanon","Pennsylvania",1,3,1,4,40.375713,-76.4626118
"Lewiston Maine","Lewiston","Maine",1,18,13,31,44.0951078,-70.2155454
"Lexington Kentucky","Lexington","Kentucky",1,0,4,4,38.0464066,-84.4970393
"Lincoln Nebraska","Lincoln","Nebraska",1,0,4,4,40.8088861,-96.7077751
"Little Rock Arkansas","Little Rock","Arkansas",1,2,5,7,34.7465071,-92.2896267
"Loris South Carolina","Loris","South Carolina",1,0,4,4,34.0562812,-78.8903044
"Los Angeles California","Los Angeles","California",8,6,29,35,34.0536909,-118.242766
"Louisville Georgia","Louisville","Georgia",1,0,5,5,33.0015407,-82.4112377
"Louisville Kentucky","Louisville","Kentucky",6,10,25,35,38.2542376,-85.759407
"Louisville Mississippi","Louisville","Mississippi",1,1,5,6,33.1237377,-89.0550624
"Lubbock Texas","Lubbock","Texas",1,1,3,4,33.5855677,-101.8470215
"Luttrell Tennessee","Luttrell","Tennessee",1,4,0,4,36.1995269,-83.7418507
"Lynn Massachusetts","Lynn","Massachusetts",1,2,5,7,42.466763,-70.9494939
"Machesney Park Illinois","Machesney Park","Illinois",1,0,4,4,42.3472406,-89.0389956
"Macomb Illinois","Macomb","Illinois",1,1,10,11,40.4588934,-90.6713939
"Macon Georgia","Macon","Georgia",1,1,3,4,32.8406946,-83.6324022
"Madison Wisconsin","Madison","Wisconsin",1,1,3,4,43.074761,-89.3837613
"Manchester New Hampshire","Manchester","New Hampshire",1,0,4,4,42.9956397,-71.4547891
"Mansfield Ohio","Mansfield","Ohio",2,3,7,10,40.75839,-82.5154471
